form,lang,count,per_thousand,stopword
l,nl,12,0.51,no
moeten,nl,12,0.51,no
say,nl,12,0.51,no
up,nl,12,0.51,no
way,nl,12,0.51,no
whether,nl,12,0.51,no
willen,nl,12,0.51,no
wonderful,nl,12,0.51,no
zullen,nl,12,0.51,no
alles,nl,11,0.468,no
both,nl,11,0.468,no
brussel,nl,11,0.468,no
denk,nl,11,0.468,no
denken,nl,11,0.468,no
did,nl,11,0.468,no
doing,nl,11,0.468,no
down,nl,11,0.468,no
echter,nl,11,0.468,no
goeden,nl,11,0.468,no
haar,nl,11,0.468,no
hartelijk,nl,11,0.468,no
jelui,nl,11,0.468,no
maken,nl,11,0.468,no
man,nl,11,0.468,no
moment,nl,11,0.468,no
ons,nl,11,0.468,no
paris,nl,11,0.468,no
perhaps,nl,11,0.468,no
poten,nl,11,0.468,no
probably,nl,11,0.468,no
quite,nl,11,0.468,no
rooses,nl,11,0.468,no
something,nl,11,0.468,no
truly,nl,11,0.468,no
walk,nl,11,0.468,no
while,nl,11,0.468,no
writing,nl,11,0.468,no
you’ve,nl,11,0.468,no
zeker,nl,11,0.468,no
bell,nl,10,0.425,no
beste,nl,10,0.425,no
better,nl,10,0.425,no
chance,nl,10,0.425,no
dorp,nl,10,0.425,no
du,nl,10,0.425,no
english,nl,10,0.425,no
especially,nl,10,0.425,no
ever,nl,10,0.425,no
exhibition,nl,10,0.425,no
gehad,nl,10,0.425,no
haanebeeks,nl,10,0.425,no
hen,nl,10,0.425,no
hill,nl,10,0.425,no
iterson,nl,10,0.425,no
komen,nl,10,0.425,no
laten,nl,10,0.425,no
le,nl,10,0.425,no
michelet,nl,10,0.425,no
o,nl,10,0.425,no
parijs,nl,10,0.425,no
right,nl,10,0.425,no
room,nl,10,0.425,no
same,nl,10,0.425,no
sch,nl,10,0.425,no
silent,nl,10,0.425,no
trees,nl,10,0.425,no
u,nl,10,0.425,no
we’ll,nl,10,0.425,no
year,nl,10,0.425,no
ze,nl,10,0.425,no
ziet,nl,10,0.425,no
ago,nl,9,0.383,no
am,nl,9,0.383,no
another,nl,9,0.383,no
anything,nl,9,0.383,no
begin,nl,9,0.383,no
bid,nl,9,0.383,no
busy,nl,9,0.383,no
completely,nl,9,0.383,no
deed,nl,9,0.383,no
dieu,nl,9,0.383,no
every,nl,9,0.383,no
flowers,nl,9,0.383,no
full,nl,9,0.383,no
geen,nl,9,0.383,no
haanebeek,nl,9,0.383,no
heerlijk,nl,9,0.383,no
houd,nl,9,0.383,no
ja,nl,9,0.383,no
kwam,nl,9,0.383,no
life,nl,9,0.383,no
longing,nl,9,0.383,no
make,nl,9,0.383,no
may,nl,9,0.383,no
often,nl,9,0.383,no
pleasant,nl,9,0.383,no
pleasure,nl,9,0.383,no
s’hage,nl,9,0.383,no
saw,nl,9,0.383,no
stond,nl,9,0.383,no
sweet,nl,9,0.383,no
take,nl,9,0.383,no
tentoonstelling,nl,9,0.383,no
tissot,nl,9,0.383,no
un,nl,9,0.383,no
uur,nl,9,0.383,no
vind,nl,9,0.383,no
yours,nl,9,0.383,no
among,nl,8,0.34,no
anders,nl,8,0.34,no
april,nl,8,0.34,no
beter,nl,8,0.34,no
boek,nl,8,0.34,no
boughton,nl,8,0.34,no
braekeleer,nl,8,0.34,no
breton,nl,8,0.34,no
curious,nl,8,0.34,no
dikwijls,nl,8,0.34,no
done,nl,8,0.34,no
everything,nl,8,0.34,no
fie,nl,8,0.34,no
fine,nl,8,0.34,no
firm,nl,8,0.34,no
ga,nl,8,0.34,no
gallery,nl,8,0.34,no
gemaakt,nl,8,0.34,no
genoegen,nl,8,0.34,no
goede,nl,8,0.34,no
gogh,nl,8,0.34,no
