form,lang,count,per_thousand,stopword
neutro,grc,3,0.21,no
niger,grc,3,0.21,no
nihili,grc,3,0.21,no
nominatiuus,grc,3,0.21,no
nomini,grc,3,0.21,no
nouem,grc,3,0.21,no
nox,grc,3,0.21,no
ns,grc,3,0.21,no
nulla,grc,3,0.21,no
nulli,grc,3,0.21,no
numero,grc,3,0.21,no
ŋprobus,grc,3,0.21,no
ŋproduc¯ductum,grc,3,0.21,no
ŋproducta,grc,3,0.21,no
ŋproferri,grc,3,0.21,no
ŋpronomen,grc,3,0.21,no
on,grc,3,0.21,no
optimus,grc,3,0.21,no
ostendunt,grc,3,0.21,no
p¯predictu2um,grc,3,0.21,no
p¯prenotatur,grc,3,0.21,no
p¯preponitur,grc,3,0.21,no
p¯prepositionib;bus,grc,3,0.21,no
p¯preterito,grc,3,0.21,no
parasitaster,grc,3,0.21,no
patris,grc,3,0.21,no
patronymicoru2um,grc,3,0.21,no
pene,grc,3,0.21,no
penitus,grc,3,0.21,no
penultimo,grc,3,0.21,no
pes,grc,3,0.21,no
plene,grc,3,0.21,no
plenus,grc,3,0.21,no
pluralis,grc,3,0.21,no
plurimis,grc,3,0.21,no
poni,grc,3,0.21,no
positiuis,grc,3,0.21,no
positiuus,grc,3,0.21,no
possessione,grc,3,0.21,no
primas,grc,3,0.21,no
primitiuis,grc,3,0.21,no
priscianu2um,grc,3,0.21,no
prius,grc,3,0.21,no
pugillus,grc,3,0.21,no
pura2am,grc,3,0.21,no
quam,grc,3,0.21,no
quibus,grc,3,0.21,no
quida2am,grc,3,0.21,no
quus,grc,3,0.21,no
recipiunt,grc,3,0.21,no
refert,grc,3,0.21,no
relatiua,grc,3,0.21,no
reliqua,grc,3,0.21,no
roma,grc,3,0.21,no
rus,grc,3,0.21,no
sapiens,grc,3,0.21,no
sapientia,grc,3,0.21,no
saxosus,grc,3,0.21,no
se2emþper,grc,3,0.21,no
secundus,grc,3,0.21,no
senex,grc,3,0.21,no
sensu2um,grc,3,0.21,no
separatim,grc,3,0.21,no
significationes,grc,3,0.21,no
simil¯ilia,grc,3,0.21,no
similitudine2em,grc,3,0.21,no
singularis,grc,3,0.21,no
singulis,grc,3,0.21,no
stus,grc,3,0.21,no
sua,grc,3,0.21,no
sua2am,grc,3,0.21,no
suæ,grc,3,0.21,no
superius,grc,3,0.21,no
superus,grc,3,0.21,no
supradictis,grc,3,0.21,no
suþper,grc,3,0.21,no
syll¯llaba,grc,3,0.21,no
syncopa2am,grc,3,0.21,no
talis,grc,3,0.21,no
tantus,grc,3,0.21,no
te2empore,grc,3,0.21,no
temporis,grc,3,0.21,no
terminantur,grc,3,0.21,no
terminatur,grc,3,0.21,no
terni,grc,3,0.21,no
timus,grc,3,0.21,no
trahunt,grc,3,0.21,no
tristis,grc,3,0.21,no
triu2um,grc,3,0.21,no
tudo,grc,3,0.21,no
tum,grc,3,0.21,no
u·us,grc,3,0.21,no
uersu2um,grc,3,0.21,no
uestis,grc,3,0.21,no
uetustus,grc,3,0.21,no
uexillu2um,grc,3,0.21,no
uicesimus,grc,3,0.21,no
ulla,grc,3,0.21,no
ulus,grc,3,0.21,no
una2am,grc,3,0.21,no
uniuscuiusq;que,grc,3,0.21,no
