register,entry,lemma,reading,witnesses,source,resp,cert,type,isLemma
substantive,chronicon:0.1.1.3.6.0,Ysmahelite,Ysmahelite,g,,,,,true
substantive,chronicon:0.1.1.3.6.0,Ysmahelite,Ysmahelitem,a,,,,,false
substantive,chronicon:0.1.1.3.7.0,centum,centum,g,,,,,true
substantive,chronicon:0.1.1.3.7.0,centum,c,a,,,,,false
substantive,chronicon:0.1.1.3.7.1,Ysach,Ysach,g,,,,,true
substantive,chronicon:0.1.1.3.7.1,Ysach,Ysahac,a,,,,,false
substantive,chronicon:0.1.1.3.7.3,Ysach,Ysach,g,,,,,true
substantive,chronicon:0.1.1.3.7.3,Ysach,Ysahac,a,,,,,false
substantive,chronicon:0.1.1.3.8.0,Ysach,Ysach,g,,,,,true
substantive,chronicon:0.1.1.3.8.0,Ysach,Ysahac,a,,,,,false
substantive,chronicon:0.1.1.3.8.1,Ysach,Ysach,g,,,,,true
substantive,chronicon:0.1.1.3.8.1,Ysach,Ysahac,a,,,,,false
substantive,chronicon:0.1.1.3.8.2,Egyptii,Egyptii,g,,,,,true
substantive,chronicon:0.1.1.3.8.2,Egyptii,Egiptiii,a,,,,,false
substantive,chronicon:0.1.1.3.10.0,eius,eius,g,,,,,true
substantive,chronicon:0.1.1.3.10.0,eius,es,a,,,,,false
substantive,chronicon:0.1.1.3.10.1,ipse,ipse,g,,,,,true
substantive,chronicon:0.1.1.3.10.1,ipse,. Ipse,a,,,,,false
substantive,chronicon:0.1.1.3.11.0,annos,annos,g,,,,,true
substantive,chronicon:0.1.1.3.11.0,annos,anno,a,,,,,false
substantive,chronicon:0.1.1.3.12.0,MMCDLIII,MMCDLIII,g,,,,,true
substantive,chronicon:0.1.1.3.12.0,MMCDLIII,MMCDLII,a,,,,,false
substantive,chronicon:0.1.1.3.13.0,mansuerunt,mansuerunt,g,,,,,true
substantive,chronicon:0.1.1.3.13.0,mansuerunt,manserunt,a,,,,,false
substantive,chronicon:0.1.1.3.13.1,eius,eius,g,,,,,true
substantive,chronicon:0.1.1.3.13.1,eius,ei,a,,,,,false
substantive,chronicon:0.1.1.3.13.2,Abrahe,Abrahe,g,,,,,true
substantive,chronicon:0.1.1.3.13.2,Abrahe,Habrahe,a,,,,,false
substantive,chronicon:0.1.1.3.13.5,ipsam,ipsam,g,,,,,true
substantive,chronicon:0.1.1.3.13.5,ipsam,ipsum,a,,,,,false
substantive,chronicon:0.1.1.3.13.6,fuisse,fuisse,g,,,,,true
substantive,chronicon:0.1.1.3.13.6,fuisse,fuisset,a,,,,,false
substantive,chronicon:0.1.1.3.13.8,summam,summam,g,,,,,true
substantive,chronicon:0.1.1.3.13.8,summam,sumam,a,,,,,false
substantive,chronicon:0.1.1.3.13.9,translationi,translationi,g,,,,,true
substantive,chronicon:0.1.1.3.13.9,translationi,translationis,a,,,,,false
substantive,chronicon:0.1.1.3.13.10,promissiones,promissiones,g,,,,,true
substantive,chronicon:0.1.1.3.13.10,promissiones,repromissiones,a,,,,,false
substantive,chronicon:0.1.1.3.13.11,"multis, sed quasi in","multis, sed quasi in",g,,,,,true
substantive,chronicon:0.1.1.3.13.11,"multis, sed quasi in",,a,,,,,false
substantive,chronicon:0.1.1.3.13.12,Hoc autem dico,Hoc autem dico,g,,,,,true
substantive,chronicon:0.1.1.3.13.12,Hoc autem dico,Dico,a,,,,,false
substantive,chronicon:0.1.1.3.13.13,CDXXX,CDXXX,g,,,,,true
substantive,chronicon:0.1.1.3.13.13,CDXXX,CD et XXX,a,,,,,false
substantive,chronicon:0.1.1.3.14.0,Anfectione,Anfectione,a,,,,,true
