register,entry,lemma,reading,witnesses,source,resp,cert,type,isLemma
main,collazione-01:0.1.0.30.0.3,wolden,wolde,Ad1 Bo2 Ds1 En1 En3 Fi Ha2 Ht Ii La Lc Ld1 Ld2 Ma Mg Ps Pw Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.30.0.4,ryde,ryde,Edition,,,,,true
main,collazione-01:0.1.0.30.0.4,ryde,ryde,Edition Bo1 Ch Cx1 Cx2 El Fi Ha2 Ha3 Ha4 Hg Ht Ii La Lc Ld1 Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.30.0.4,ryde,y ryde,Ld2,,,,,false
main,collazione-01:0.1.0.30.0.4,ryde,they ryde,Ad1 Bo2 Ds1 En1 En3 Ma,,,,,false
main,collazione-01:0.1.0.31.0.1,The chambres,The chambres,Edition,,,,,true
main,collazione-01:0.1.0.31.0.1,The chambres,The chambres,Edition Ad1 Bo2 Ch Cx1 Cx2 Ds1 El En1 En3 Fi Ha2 Ha3 Ha4 Hg Ht Ii La Lc Ld1 Ld2 Ma Mg Ph2 Pn Ps Pw Py Ry2 Se To1 Wy,,,,,false
main,collazione-01:0.1.0.31.0.1,The chambres,The chambre,Bo1,,,,,false
main,collazione-01:0.1.0.31.0.1,The chambres,The hambres,Tc1,,,,,false
main,collazione-01:0.1.0.31.0.1,The chambres,As A chambre,Tc2,,,,,false
main,collazione-01:0.1.0.31.0.2,and the stables,and the stables,Edition,,,,,true
main,collazione-01:0.1.0.31.0.2,and the stables,and the stables,Edition Ad1 Bo1 Ch Cx1 Cx2 El En3 Ha2 Ha3 Ha4 Hg Ii Ld2 Ma Mg Ph2 Pn Ps Py Wy,,,,,false
main,collazione-01:0.1.0.31.0.2,and the stables,and stables,Bo2 Ds1 En1 Fi La Lc Ld1 Pw Ry2 Se Tc1 Tc2 To1,,,,,false
main,collazione-01:0.1.0.31.0.2,and the stables,and hall,Ht,,,,,false
main,collazione-01:0.1.0.31.0.3,weeren wyde,weeren wyde,Edition,,,,,true
main,collazione-01:0.1.0.31.0.3,weeren wyde,weeren wyde,Edition Ad1 Bo1 Bo2 Ch Cx1 Cx2 Ds1 El En1 En3 Fi Ha2 Ha3 Ha4 Hg Ht Ii La Lc Ld1 Ld2 Ma Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.32.0.1,And wel we weeren,And wel we weeren,Edition,,,,,true
main,collazione-01:0.1.0.32.0.1,And wel we weeren,And wel we weeren,Edition Ad1 Bo1 Ch El En3 Ha4 Hg Ph2 Ps,,,,,false
main,collazione-01:0.1.0.32.0.1,And wel we weeren,And wel weeren,Bo2 Fi Ha2 La Lc Mg Pw Py Ry2 Se,,,,,false
main,collazione-01:0.1.0.32.0.1,And wel we weeren,And wel weeren they,Cx1 Ha3 Ht Ii Ld1 Ld2 Ma,,,,,false
main,collazione-01:0.1.0.32.0.1,And wel we weeren,And wel weeren we,Cx2 Ds1 En1 Pn Tc2-mod To1 Wy,,,,,false
main,collazione-01:0.1.0.32.0.1,And wel we weeren,And wel wexen they,Tc2-orig,,,,,false
main,collazione-01:0.1.0.32.0.1,And wel we weeren,And weeren wel,Tc1,,,,,false
main,collazione-01:0.1.0.32.0.2,esed,esed,Edition,,,,,true
main,collazione-01:0.1.0.32.0.2,esed,esed,Edition Ad1 Bo1 Bo2 Ch Cx1 Cx2 Ds1 El En1 En3 Fi Ha2 Ha4 Hg Ht Ii La Lc Ld1 Ld2 Ma Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.32.0.2,esed,esed al,Ha3,,,,,false
main,collazione-01:0.1.0.32.0.3,at the beste,at the beste,Edition,,,,,true
main,collazione-01:0.1.0.32.0.3,at the beste,at the beste,Edition Ad1 Bo1 Bo2 Ch Ds1 En1 En3 Fi Ha2 Ha3 Hg Ii La Ld1 Ld2 Ma Mg Ph2 Pn Ps Py Se Tc2 To1,,,,,false
main,collazione-01:0.1.0.32.0.3,at the beste,atte beste,Cx1 Cx2 El Ha4 Ht Lc Pw Ry2 Wy,,,,,false
main,collazione-01:0.1.0.32.0.3,at the beste,ate beste,Tc1,,,,,false
main,collazione-01:0.1.0.33.0.1,And,And,Edition,,,,,true
main,collazione-01:0.1.0.33.0.1,And,And,Edition Ad1 Bo1 Bo2 Ch Cx1 Cx2 Ds1 El En1 En3 Fi Ha2 Ha3 Ha4 Hg Ht Ii La Lc Ld1 Ld2 Ma Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.33.0.2,shortly,shortly,Edition,,,,,true
main,collazione-01:0.1.0.33.0.2,shortly,shortly,Edition Ad1 Bo1 Bo2 Ch Cx1 Cx2 Ds1 El En1 En3 Fi Ha2 Ha3 Ha4 Hg Ht Ii La Lc Ld1 Ld2 Ma Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.33.0.3,whan,whan,Edition,,,,,true
main,collazione-01:0.1.0.33.0.3,whan,whan,Edition Ad1 Bo1 Bo2 Ch Cx1 Cx2 Ds1 El En1 En3 Fi Ha2 Ha3 Ha4 Hg Ht Ii La Lc Ld1 Ld2 Ma Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.33.0.4,the sonne,the sonne,Edition,,,,,true
main,collazione-01:0.1.0.33.0.4,the sonne,the sonne,Edition Ad1 Bo1 Ch Cx1 Cx2 Ds1 El En1 En3 Fi Ha2 Ha3 Ha4 Hg Ht Ii La Lc Ld1 Ld2 Ma Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2 To1 Wy,,,,,false
main,collazione-01:0.1.0.33.0.4,the sonne,tyme,Bo2,,,,,false
main,collazione-01:0.1.0.33.0.5,was,was,Edition,,,,,true
main,collazione-01:0.1.0.33.0.5,was,was,Edition Bo1 Bo2 Ch Cx1 Cx2 El Fi Ha2 Ha3 Ha4 Hg Ii La Lc Ld1 Mg Ph2 Pn Ps Pw Py Ry2 Se Tc1 Tc2-orig Wy,,,,,false
