form,lang,count,per_thousand,stopword
wyght,,50,0.15,no
charge,,49,0.147,no
de,,49,0.147,no
fonde,,49,0.147,no
hat,,49,0.147,no
herkeneth,,49,0.147,no
list,,49,0.147,no
nere,,49,0.147,no
port,,49,0.147,no
power,,49,0.147,no
sake,,49,0.147,no
seyn,,49,0.147,no
shaue,,49,0.147,no
straunge,,49,0.147,no
swore,,49,0.147,no
thogh,,49,0.147,no
tithes,,49,0.147,no
tymes,,49,0.147,no
woll,,49,0.147,no
wot,,49,0.147,no
athenes,,48,0.144,no
brest,,48,0.144,no
cartage,,48,0.144,no
cutte,,48,0.144,no
excuse,,48,0.144,no
firste,,48,0.144,no
oo,,48,0.144,no
qd,,48,0.144,no
questio,,48,0.144,no
targe,,48,0.144,no
v,,48,0.144,no
alway,,47,0.141,no
barge,,47,0.141,no
benigne,,47,0.141,no
blame,,47,0.141,no
bolde,,47,0.141,no
breke,,47,0.141,no
ek,,47,0.141,no
figure,,47,0.141,no
gospell,,47,0.141,no
heer,,47,0.141,no
held,,47,0.141,no
helde,,47,0.141,no
manciple,,47,0.141,no
mene,,47,0.141,no
mesurable,,47,0.141,no
mouth,,47,0.141,no
pompe,,47,0.141,no
schulde,,47,0.141,no
spede,,47,0.141,no
su,,47,0.141,no
ȝit,,47,0.141,no
anoon,,46,0.138,no
assente,,46,0.138,no
bathe,,46,0.138,no
butte,,46,0.138,no
disport,,46,0.138,no
doner,,46,0.138,no
draweth,,46,0.138,no
feire,,46,0.138,no
happe,,46,0.138,no
lokkes,,46,0.138,no
surcote,,46,0.138,no
tendre,,46,0.138,no
thomas,,46,0.138,no
thryes,,46,0.138,no
ȝou,,46,0.138,no
blisful,,45,0.135,no
broun,,45,0.135,no
comfort,,45,0.135,no
daunger,,45,0.135,no
ded,,45,0.135,no
feyne,,45,0.135,no
foule,,45,0.135,no
liste,,45,0.135,no
marchaunt,,45,0.135,no
roste,,45,0.135,no
rounde,,45,0.135,no
scole,,45,0.135,no
sothe,,45,0.135,no
stake,,45,0.135,no
stede,,45,0.135,no
suffre,,45,0.135,no
verray,,45,0.135,no
withouten,,45,0.135,no
amor,,44,0.132,no
cloystre,,44,0.132,no
cure,,44,0.132,no
dagger,,44,0.132,no
elles,,44,0.132,no
fewe,,44,0.132,no
gospel,,44,0.132,no
harm,,44,0.132,no
hatte,,44,0.132,no
howe,,44,0.132,no
hym̄,,44,0.132,no
lust,,44,0.132,no
lyk,,44,0.132,no
ma,,44,0.132,no
note,,44,0.132,no
recorde,,44,0.132,no
satte,,44,0.132,no
soth,,44,0.132,no
stood,,44,0.132,no
temple,,44,0.132,no
theseus,,44,0.132,no
took,,44,0.132,no
trewe,,44,0.132,no
vincit,,44,0.132,no
visite,,44,0.132,no
vpon̄,,44,0.132,no
weel,,44,0.132,no
witte,,44,0.132,no
yee,,44,0.132,no
blake,,43,0.129,no
browes,,43,0.129,no
carpe,,43,0.129,no
corage,,43,0.129,no
desire,,43,0.129,no
doon,,43,0.129,no
hardy,,43,0.129,no
helle,,43,0.129,no
hitt,,43,0.129,no
hur,,43,0.129,no
lordis,,43,0.129,no
lore,,43,0.129,no
luce,,43,0.129,no
mere,,43,0.129,no
morsel,,43,0.129,no
nede,,43,0.129,no
on̄,,43,0.129,no
pers,,43,0.129,no
pre,,43,0.129,no
prys,,43,0.129,no
pulle,,43,0.129,no
shape,,43,0.129,no
sothly,,43,0.129,no
stonden,,43,0.129,no
stones,,43,0.129,no
swiche,,43,0.129,no
tempest,,43,0.129,no
then,,43,0.129,no
thinges,,43,0.129,no
wayted,,43,0.129,no
whit,,43,0.129,no
worlde,,43,0.129,no
another,,42,0.126,no
arwes,,42,0.126,no
begger,,42,0.126,no
bettre,,42,0.126,no
bold,,42,0.126,no
bothe,,42,0.126,no
bynne,,42,0.126,no
drinke,,42,0.126,no
durst,,42,0.126,no
every,,42,0.126,no
excellence,,42,0.126,no
fetisly,,42,0.126,no
fite,,42,0.126,no
gate,,42,0.126,no
gentill,,42,0.126,no
lerne,,42,0.126,no
lye,,42,0.126,no
mantel,,42,0.126,no
meke,,42,0.126,no
moot,,42,0.126,no
nedeth,,42,0.126,no
quid,,42,0.126,no
rake,,42,0.126,no
stable,,42,0.126,no
swere,,42,0.126,no
synne,,42,0.126,no
them,,42,0.126,no
trewely,,42,0.126,no
while,,42,0.126,no
yeer,,42,0.126,no
before,,41,0.123,no
bernard,,41,0.123,no
brother,,41,0.123,no
cake,,41,0.123,no
cloke,,41,0.123,no
fees,,41,0.123,no
ferre,,41,0.123,no
harlot,,41,0.123,no
helpen,,41,0.123,no
house,,41,0.123,no
iay,,41,0.123,no
lest,,41,0.123,no
maister,,41,0.123,no
merye,,41,0.123,no
morowe,,41,0.123,no
nyce,,41,0.123,no
oynement,,41,0.123,no
pale,,41,0.123,no
paye,,41,0.123,no
shorte,,41,0.123,no
sittyng,,41,0.123,no
sompnour,,41,0.123,no
southwerk,,41,0.123,no
spade,,41,0.123,no
stele,,41,0.123,no
syn,,41,0.123,no
trees,,41,0.123,no
twey,,41,0.123,no
weie,,41,0.123,no
wisdom,,41,0.123,no
ȝowe,,41,0.123,no
þey,,41,0.123,no
accorde,,40,0.12,no
assembled,,40,0.12,no
bible,,40,0.12,no
brede,,40,0.12,no
brought,,40,0.12,no
catel,,40,0.12,no
cauntirbury,,40,0.12,no
curtesie,,40,0.12,no
degree,,40,0.12,no
dette,,40,0.12,no
engendred,,40,0.12,no
ferthyng,,40,0.12,no
frosty,,40,0.12,no
iapes,,40,0.12,no
kynde,,40,0.12,no
nother,,40,0.12,no
noȝt,,40,0.12,no
obedient,,40,0.12,no
owen,,40,0.12,no
owte,,40,0.12,no
patent,,40,0.12,no
reyne,,40,0.12,no
sayd,,40,0.12,no
sitte,,40,0.12,no
slepe,,40,0.12,no
sothely,,40,0.12,no
sownyng,,40,0.12,no
therfor,,40,0.12,no
watte,,40,0.12,no
ȝaf,,40,0.12,no
base,,39,0.117,no
beside,,39,0.117,no
bras,,39,0.117,no
calf,,39,0.117,no
calle,,39,0.117,no
case,,39,0.117,no
clense,,39,0.117,no
curteys,,39,0.117,no
doute,,39,0.117,no
dresse,,39,0.117,no
duke,,39,0.117,no
fedde,,39,0.117,no
fox,,39,0.117,no
gobet,,39,0.117,no
iuris,,39,0.117,no
lace,,39,0.117,no
langage,,39,0.117,no
loved,,39,0.117,no
mylke,,39,0.117,no
nekke,,39,0.117,no
offryng,,39,0.117,no
parissh,,39,0.117,no
preste,,39,0.117,no
pye,,39,0.117,no
rage,,39,0.117,no
said,,39,0.117,no
saw,,39,0.117,no
science,,39,0.117,no
seie,,39,0.117,no
sleues,,39,0.117,no
spere,,39,0.117,no
stature,,39,0.117,no
tart,,39,0.117,no
til,,39,0.117,no
trappe,,39,0.117,no
blowe,,38,0.114,no
certeynly,,38,0.114,no
clerke,,38,0.114,no
crie,,38,0.114,no
cristis,,38,0.114,no
d,,38,0.114,no
fee,,38,0.114,no
fet,,38,0.114,no
flour,,38,0.114,no
fortune,,38,0.114,no
g,,38,0.114,no
hope,,38,0.114,no
leet,,38,0.114,no
lewde,,38,0.114,no
lyned,,38,0.114,no
mony,,38,0.114,no
moost,,38,0.114,no
myre,,38,0.114,no
necke,,38,0.114,no
office,,38,0.114,no
selfe,,38,0.114,no
shalle,,38,0.114,no
shame,,38,0.114,no
sharp,,38,0.114,no
somer,,38,0.114,no
somtyme,,38,0.114,no
sowe,,38,0.114,no
spente,,38,0.114,no
streight,,38,0.114,no
taffata,,38,0.114,no
trussed,,38,0.114,no
wone,,38,0.114,no
wonyng,,38,0.114,no
alder,,37,0.111,no
assise,,37,0.111,no
baar,,37,0.111,no
benygne,,37,0.111,no
cape,,37,0.111,no
caught,,37,0.111,no
clere,,37,0.111,no
cok,,37,0.111,no
curtesye,,37,0.111,no
feir,,37,0.111,no
fissh,,37,0.111,no
flaundres,,37,0.111,no
flok,,37,0.111,no
folde,,37,0.111,no
haunt,,37,0.111,no
hi,,37,0.111,no
hunters,,37,0.111,no
lik,,37,0.111,no
lymytour,,37,0.111,no
manly,,37,0.111,no
noman,,37,0.111,no
nonys,,37,0.111,no
oost,,37,0.111,no
ost,,37,0.111,no
pay,,37,0.111,no
route,,37,0.111,no
signe,,37,0.111,no
silk,,37,0.111,no
somwhat,,37,0.111,no
soun,,37,0.111,no
trouthe,,37,0.111,no
twynne,,37,0.111,no
ued,,37,0.111,no
wole,,37,0.111,no
ypocras,,37,0.111,no
þough,,37,0.111,no
aft,,36,0.108,no
algate,,36,0.108,no
apes,,36,0.108,no
astronomye,,36,0.108,no
boyle,,36,0.108,no
catell,,36,0.108,no
chaunce,,36,0.108,no
daungerous,,36,0.108,no
digestible,,36,0.108,no
done,,36,0.108,no
drye,,36,0.108,no
felicite,,36,0.108,no
feyned,,36,0.108,no
floure,,36,0.108,no
frye,,36,0.108,no
hom,,36,0.108,no
hondes,,36,0.108,no
laboure,,36,0.108,no
litarge,,36,0.108,no
love,,36,0.108,no
manye,,36,0.108,no
mariage,,36,0.108,no
nombre,,36,0.108,no
nygh,,36,0.108,no
oft,,36,0.108,no
oyle,,36,0.108,no
person,,36,0.108,no
rest,,36,0.108,no
ryche,,36,0.108,no
smert,,36,0.108,no
thee,,36,0.108,no
thredbare,,36,0.108,no
trompe,,36,0.108,no
twelue,,36,0.108,no
vsage,,36,0.108,no
abbot,,35,0.105,no
bad,,35,0.105,no
children,,35,0.105,no
curse,,35,0.105,no
depe,,35,0.105,no
diligent,,35,0.105,no
gouernour,,35,0.105,no
hent,,35,0.105,no
highte,,35,0.105,no
hoost,,35,0.105,no
iuge,,35,0.105,no
keper,,35,0.105,no
knotte,,35,0.105,no
laste,,35,0.105,no
matere,,35,0.105,no
millere,,35,0.105,no
mylk,,35,0.105,no
nature,,35,0.105,no
new,,35,0.105,no
nouht,,35,0.105,no
omnia,,35,0.105,no
