form,lang,count,per_thousand,stopword
κάτα,grc,21,0.241,no
κατάλεξον,grc,21,0.241,no
κίρκης,grc,21,0.241,no
μέγʼ,grc,21,0.241,no
νέον,grc,21,0.241,no
νόον,grc,21,0.241,no
ὅδʼ,grc,21,0.241,no
οἶδα,grc,21,0.241,no
οὗ,grc,21,0.241,no
οὐχ,grc,21,0.241,no
πόδας,grc,21,0.241,no
πολλὸν,grc,21,0.241,no
πόσιος,grc,21,0.241,no
πρίν,grc,21,0.241,no
προσέειπεν,grc,21,0.241,no
τέκνον,grc,21,0.241,no
τό,grc,21,0.241,yes
τοῖος,grc,21,0.241,no
υἱὸν,grc,21,0.241,no
ὑμῖν,grc,21,0.241,no
χειρὶ,grc,21,0.241,no
ψυχὴ,grc,21,0.241,no
ἀγόρευον,grc,20,0.229,no
ἀλκίνοος,grc,20,0.229,no
ἄλλους,grc,20,0.229,no
ἀνδρὶ,grc,20,0.229,no
αὐτῶν,grc,20,0.229,no
βάλε,grc,20,0.229,no
γαίῃ,grc,20,0.229,no
εὐρὺν,grc,20,0.229,no
ἔχοντα,grc,20,0.229,no
ἡμέας,grc,20,0.229,no
ἥρως,grc,20,0.229,no
ἱστία,grc,20,0.229,no
καρπαλίμως,grc,20,0.229,no
κεῖνον,grc,20,0.229,no
κραδίη,grc,20,0.229,no
κρονίων,grc,20,0.229,no
κύνες,grc,20,0.229,no
νηυσὶ,grc,20,0.229,no
οὗτος,grc,20,0.229,no
ποσειδάων,grc,20,0.229,no
σὴν,grc,20,0.229,no
συβῶτα,grc,20,0.229,no
τάχιστα,grc,20,0.229,no
τοῖον,grc,20,0.229,no
ἀεικέα,grc,19,0.218,no
αἵ,grc,19,0.218,no
ἀμφιπόλοισι,grc,19,0.218,no
ἀνάγκῃ,grc,19,0.218,no
ἀνδράσιν,grc,19,0.218,no
ἅπαντα,grc,19,0.218,no
αὐλῆς,grc,19,0.218,no
αὐτῇ,grc,19,0.218,no
γένοιτο,grc,19,0.218,no
γένος,grc,19,0.218,no
γέρον,grc,19,0.218,no
δεῖπνον,grc,19,0.218,no
δεῦρʼ,grc,19,0.218,no
δῶκε,grc,19,0.218,no
ἐδητύος,grc,19,0.218,no
εἵματʼ,grc,19,0.218,no
ἑκάστῳ,grc,19,0.218,no
ἐστι,grc,19,0.218,no
θύρας,grc,19,0.218,no
ἵππους,grc,19,0.218,no
ἱστὸν,grc,19,0.218,no
κτήματʼ,grc,19,0.218,no
μεγάρῳ,grc,19,0.218,no
νέστωρ,grc,19,0.218,no
νῆες,grc,19,0.218,no
ξίφος,grc,19,0.218,no
οἷον,grc,19,0.218,no
ὅσα,grc,19,0.218,no
πότνια,grc,19,0.218,no
τοιγὰρ,grc,19,0.218,no
φάος,grc,19,0.218,no
χαῖρε,grc,19,0.218,no
χρόνον,grc,19,0.218,no
ἄμφω,grc,18,0.206,no
ἄριστος,grc,18,0.206,no
βάλεν,grc,18,0.206,no
βεβήκει,grc,18,0.206,no
γάμον,grc,18,0.206,no
γένηται,grc,18,0.206,no
γυναῖκας,grc,18,0.206,no
δόρπον,grc,18,0.206,no
ἔειπες,grc,18,0.206,no
ἑλὼν,grc,18,0.206,no
ἔμʼ,grc,18,0.206,no
ἔπλετο,grc,18,0.206,no
ἐσθλὸν,grc,18,0.206,no
ἑτάρους,grc,18,0.206,no
ἔχε,grc,18,0.206,no
ζεῦ,grc,18,0.206,no
ζεύς,grc,18,0.206,no
θῆκεν,grc,18,0.206,no
κάρη,grc,18,0.206,no
κέρδιον,grc,18,0.206,no
μέγας,grc,18,0.206,no
νόος,grc,18,0.206,no
