register,entry,lemma,reading,witnesses,source,resp,cert,type,isLemma
critical,ldlt-balex:0.1.1.0.63.4.2,constituta opera cum,"constituta
                              pace cum opera",,Castiglioni,,,,false
critical,ldlt-balex:0.1.1.0.63.4.2,constituta opera cum,"constituta die (uel prouincia)
                              cum opera",,Damon,,,,false
critical,ldlt-balex:0.1.1.0.63.4.3,complanarent,complanarent,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.63.4.3,complanarent,complanarentur,,Kübler1896a,,,,false
critical,ldlt-balex:0.1.1.0.64.0.0,Carmonem,Carmonem,,Hübner,,,,true
critical,ldlt-balex:0.1.1.0.64.0.0,Carmonem,Narbonem,M S V,,,,,false
critical,ldlt-balex:0.1.1.0.64.0.0,Carmonem,Narbonam,U T,,,,,false
critical,ldlt-balex:0.1.1.0.64.1.0,obtinendam uenit,obtinendam uenit,S,,,,,true
critical,ldlt-balex:0.1.1.0.64.1.0,obtinendam uenit,obtinendam,M U T V,,,,,false
critical,ldlt-balex:0.1.1.0.64.1.0,obtinendam uenit,obtinendam mittitur,,Damon,,,,false
critical,ldlt-balex:0.1.1.0.64.1.1,naues,naues,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.64.1.1,naues,nauem,,Schneider,,,,false
critical,ldlt-balex:0.1.1.0.64.2.0,cum in,cum in,edprin,,,,,true
critical,ldlt-balex:0.1.1.0.64.2.0,cum in,cum,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.64.2.1,nihilo,nihilo,S,,,,,true
critical,ldlt-balex:0.1.1.0.64.2.1,nihilo,ni(c)hil,M U T V,,,,,false
critical,ldlt-balex:0.1.1.0.64.2.2,derectam,derectam,M U T V,,,,,true
critical,ldlt-balex:0.1.1.0.64.2.2,derectam,in|directam,S,,,,,false
critical,ldlt-balex:0.1.1.0.64.2.2,derectam,in directum,stigma,,,,,false
critical,ldlt-balex:0.1.1.0.65.0.0,rei,rei,M V,,,,,true
critical,ldlt-balex:0.1.1.0.65.0.0,rei,re,U S T,,,,,false
critical,ldlt-balex:0.1.1.0.65.0.1,commode geri,commode geri,M U S,,,,,true
